Day,Platform,Audience problem,Content pillar,Format,Hook,Proof or source,CTA,Required asset,Owner,Status,Review date,Public URL,Observed result
D-30,LinkedIn,AI output feels generic,Education,Text post,AI 不是先写文案而是先整理真实业务输入,Course M01 outline,View course outline,Audience brief screenshot,Marketing,Draft,,,
D-29,Instagram,Brand visuals change every post,Education,Carousel,五个规则让 AI 设计不再每次换风格,Course M02 outline,Save the checklist,Brand Kit cards,Design,Draft,,,
D-28,小红书,不知道每天发什么,Education,Checklist,三十天内容日历不是让 AI 随机写三十条,Course M04 outline,收藏模板,Calendar sample,Marketing,Draft,,,
D-27,视频号,多平台重复制作浪费时间,Education,Short video,每个平台都重新来一次吗,Course automation promo script,查看课程内容,Vertical course video,Video,Draft,,,
D-26,Facebook,Small teams cannot sustain every channel,Education,Image post,先选一个能持续做的平台,Course M04 outline,Comment with your main platform,Platform priority card,Marketing,Draft,,,
D-25,LinkedIn,Tasks have no owner or completion rule,Operations,Document post,AI 任务清单为什么越做越乱,Course M07 outline,Open the task board sample,Task board cards,Operations,Draft,,,
D-24,Instagram,Poster looks good but contains wrong facts,Design,Carousel,好看的 AI 海报也可能不能用,Course M03 QA criteria,Save the preflight checks,Poster QA visual,Design,Draft,,,
D-23,小红书,客户画像写得太空,Education,Notes,不要编画像从客户原话开始,Course M01 template,下载输入模板,Audience signal sheet,Marketing,Draft,,,
D-22,YouTube Shorts,Short video lacks a clear first three seconds,Video,Short video,前三秒说不清主题就先别发布,Course M06 QA checklist,查看视频模块,Hook storyboard,Video,Draft,,,
D-21,LinkedIn,One master post is pasted everywhere,Education,Text post,同一事实不等于同一写法,Course M05 outline,Compare three platform versions,Platform comparison,Marketing,Draft,,,
D-20,Instagram,Team cannot keep brand consistency,Proof,Carousel,一套 Brand Kit 如何约束四种内容资产,Course M02 deliverables,Review the module list,Four asset mockups,Design,Draft,,,
D-19,小红书,Tools produce too many unusable drafts,Education,Checklist,先写验收标准再让 AI 生成,Course templates,收藏交付清单,Definition of Done card,Operations,Draft,,,
D-18,Facebook,Meetings do not become action,Operations,Image post,会议纪要不是结果行动项才是,Course M08 outline,Download tracker,Meeting action sample,Operations,Draft,,,
D-17,LinkedIn,Small business AI courses are too theoretical,Promotion,Text post,这门课每个模块都以文件或资产结束,Published course outline,View eight modules,Module roadmap poster,Marketing,Draft,,,
D-16,Instagram,Need posters and merchandise not theory,Design,Carousel,从一个 Key Visual 延展海报和周边,Course M03 outline,View design outputs,Key visual family,Design,Draft,,,
D-15,小红书,Content has claims without proof,Education,Checklist,每条内容都要留一列证据来源,Course calendar template,下载 CSV,Calendar evidence column,Marketing,Draft,,,
D-14,视频号,Need to see the workflow,Proof,Short video,从真实输入到公司任务看板,Course automation promo,查看课程模块,Vertical workflow video,Video,Draft,,,
D-13,LinkedIn,No repeatable operating system,Operations,Document post,内容生产也需要单一任务看板,Course M07-M08,Open the board walkthrough,Board walkthrough,Operations,Draft,,,
D-12,Instagram,Design handoff fails at print,Design,Carousel,出血安全区和可编辑源文件一个都不能少,Course M03 template,Save the handoff list,Print handoff diagram,Design,Draft,,,
D-11,Facebook,Unsure who the course is for,Promotion,Image post,适合带着真实业务来做的人,Published suitable field,Read course details,Audience card,Marketing,Draft,,,
D-10,小红书,Need useful AI prompts,Education,Notes,提示词先要求引用真实输入,Prompt Library,打开双语 Prompt Library,Prompt excerpt,Teaching,Draft,,,
D-9,LinkedIn,Weekly reports overstate progress,Operations,Text post,计划不等于完成周报只写真实状态,Course M08 template,Download weekly review,Weekly review card,Operations,Draft,,,
D-8,Instagram,Video assets are missing or unlicensed,Video,Carousel,缺素材要标待拍待生成待授权,Course M06 outline,Save video QA,Asset rights checklist,Video,Draft,,,
D-7,小红书,Want a complete learner toolkit,Proof,Carousel,十三份可以直接复制的课程模板,Public learner toolkit,查看工具包,Toolkit grid,Teaching,Draft,,,
D-6,LinkedIn,Need bilingual material,Proof,Text post,课程标题说明和模板均支持中英文,Published lesson readback,View course details,Bilingual lesson screenshot,Marketing,Draft,,,
D-5,Instagram,Need clear outputs,Promotion,Carousel,八个 AI 模块分别做出什么,Published course outline,Review all outputs,Module output cards,Marketing,Draft,,,
D-4,Facebook,Dates and fees are not confirmed,Transparency,Text post,开课信息确认前只开放咨询不虚构价格,Sales configuration,Register interest,Consultation card,Sales,Draft,,,
D-3,视频号,Need a final workflow reminder,Promotion,Short video,内容日历平台改写设计视频和任务看板,Course automation promo,了解课程,Vertical course video,Video,Draft,,,
D-2,LinkedIn,Need to ask course questions,Conversion,Text post,把你的业务和当前内容问题带来,Course consultation state,Submit an enquiry,Question prompt card,Sales,Draft,,,
D-1,Instagram,Need one clear next step,Conversion,Image post,想把内容生产变成可重复系统吗,Published course page,Register interest,Course cover,Sales,Draft,,,
