month,category,line_item,amount,currency,notes
2025-01,Revenue,Subscription Revenue,128400,AUD,Recurring B2B SaaS
2025-01,Revenue,Professional Services,18200,AUD,Onboarding fees
2025-01,Revenue,Other Revenue,3100,AUD,Misc
2025-01,COGS,Hosting & Infrastructure,14800,AUD,AWS bill
2025-01,COGS,Customer Support Salaries,22100,AUD,3 FTE
2025-01,OpEx,Sales & Marketing,21500,AUD,
2025-01,OpEx,R&D Salaries,52400,AUD,7 FTE
2025-01,OpEx,G&A Salaries,18200,AUD,2 FTE
2025-01,OpEx,Software Subscriptions,4200,AUD,Slack/Notion/etc
2025-01,OpEx,Travel & Entertainment,3800,AUD,
2025-01,OpEx,Office Rent,9500,AUD,
2025-01,OpEx,Other OpEx,2100,AUD,
2025-02,Revenue,Subscription Revenue,131600,AUD,
2025-02,Revenue,Professional Services,15400,AUD,
2025-02,Revenue,Other Revenue,2800,AUD,
2025-02,COGS,Hosting & Infrastructure,15200,AUD,
2025-02,COGS,Customer Support Salaries,22100,AUD,
2025-02,OpEx,Sales & Marketing,22800,AUD,
2025-02,OpEx,R&D Salaries,52400,AUD,
2025-02,OpEx,G&A Salaries,18200,AUD,
2025-02,OpEx,Software Subscriptions,4350,AUD,Added 1 new tool
2025-02,OpEx,Travel & Entertainment,4100,AUD,
2025-02,OpEx,Office Rent,9500,AUD,
2025-02,OpEx,Other OpEx,1900,AUD,
2025-03,Revenue,Subscription Revenue,134200,AUD,
2025-03,Revenue,Professional Services,21800,AUD,Big customer onboarding
2025-03,Revenue,Other Revenue,3300,AUD,
2025-03,COGS,Hosting & Infrastructure,15600,AUD,
2025-03,COGS,Customer Support Salaries,22100,AUD,
2025-03,OpEx,Sales & Marketing,23400,AUD,
2025-03,OpEx,R&D Salaries,54800,AUD,Added 1 senior eng
2025-03,OpEx,G&A Salaries,18200,AUD,
2025-03,OpEx,Software Subscriptions,4500,AUD,
2025-03,OpEx,Travel & Entertainment,800,AUD,New travel policy effective
2025-03,OpEx,Office Rent,9500,AUD,
2025-03,OpEx,Other OpEx,2200,AUD,
2025-04,Revenue,Subscription Revenue,138900,AUD,
2025-04,Revenue,Professional Services,16200,AUD,
2025-04,Revenue,Other Revenue,2900,AUD,
2025-04,COGS,Hosting & Infrastructure,16100,AUD,
2025-04,COGS,Customer Support Salaries,22100,AUD,
2025-04,OpEx,Sales & Marketing,24100,AUD,
2025-04,OpEx,R&D Salaries,54800,AUD,
2025-04,OpEx,G&A Salaries,18200,AUD,
2025-04,OpEx,Software Subscriptions,4650,AUD,
2025-04,OpEx,Travel & Entertainment,0,AUD,Travel policy still restricted
2025-04,OpEx,Office Rent,9500,AUD,
2025-04,OpEx,Other OpEx,2050,AUD,
2025-05,Revenue,Subscription Revenue,142100,AUD,
2025-05,Revenue,Professional Services,17800,AUD,
2025-05,Revenue,Other Revenue,3050,AUD,
2025-05,COGS,Hosting & Infrastructure,16700,AUD,
2025-05,COGS,Customer Support Salaries,24300,AUD,Added 1 FTE
2025-05,OpEx,Sales & Marketing,25600,AUD,
2025-05,OpEx,R&D Salaries,54800,AUD,
2025-05,OpEx,G&A Salaries,18200,AUD,
2025-05,OpEx,Software Subscriptions,4800,AUD,
2025-05,OpEx,Travel & Entertainment,0,AUD,
2025-05,OpEx,Office Rent,9500,AUD,
2025-05,OpEx,Other OpEx,2300,AUD,
2025-06,Revenue,Subscription Revenue,145800,AUD,
2025-06,Revenue,Professional Services,19400,AUD,
2025-06,Revenue,Other Revenue,3200,AUD,
2025-06,COGS,Hosting & Infrastructure,17200,AUD,
2025-06,COGS,Customer Support Salaries,24300,AUD,
2025-06,OpEx,Sales & Marketing,48200,AUD,Spike — see notes
2025-06,OpEx,R&D Salaries,54800,AUD,
2025-06,OpEx,G&A Salaries,18200,AUD,
2025-06,OpEx,Software Subscriptions,4950,AUD,
2025-06,OpEx,Travel & Entertainment,2400,AUD,Industry conference
2025-06,OpEx,Office Rent,9500,AUD,
2025-06,OpEx,Other OpEx,2150,AUD,
2025-07,Revenue,Subscription Revenue,148900,AUD,
2025-07,Revenue,Professional Services,18100,AUD,
2025-07,Revenue,Other Revenue,2800,AUD,
2025-07,COGS,Hosting & Infrastructure,17800,AUD,
2025-07,COGS,Customer Support Salaries,24300,AUD,
2025-07,OpEx,Sales & Marketing,28600,AUD,
2025-07,OpEx,R&D Salaries,57100,AUD,Added 1 contractor
2025-07,OpEx,G&A Salaries,18200,AUD,
2025-07,OpEx,Software Subscriptions,5100,AUD,
2025-07,OpEx,Travel & Entertainment,1800,AUD,
2025-07,OpEx,Office Rent,9500,AUD,
2025-07,OpEx,Other OpEx,2400,AUD,
2025-08,Revenue,Subscription Revenue,151200,AUD,
2025-08,Revenue,Professional Services,15800,AUD,
2025-08,Revenue,Other Revenue,2950,AUD,
2025-08,COGS,Hosting & Infrastructure,18400,AUD,
2025-08,COGS,Customer Support Salaries,24300,AUD,
2025-08,OpEx,Sales & Marketing,26800,AUD,
2025-08,OpEx,R&D Salaries,57100,AUD,
2025-08,OpEx,G&A Salaries,18200,AUD,
2025-08,OpEx,Software Subscriptions,5250,AUD,
2025-08,OpEx,Travel & Entertainment,2100,AUD,
2025-08,OpEx,Office Rent,9500,AUD,
2025-08,OpEx,Other OpEx,2200,AUD,
2025-09,Revenue,Subscription Revenue,153600,AUD,
2025-09,Revenue,Professional Services,22400,AUD,Q3 enterprise renewal
2025-09,Revenue,Other Revenue,3400,AUD,
2025-09,COGS,Hosting & Infrastructure,19200,AUD,
2025-09,COGS,Customer Support Salaries,24300,AUD,
2025-09,OpEx,Sales & Marketing,27400,AUD,
2025-09,OpEx,R&D Salaries,57100,AUD,
2025-09,OpEx,G&A Salaries,18200,AUD,
2025-09,OpEx,Software Subscriptions,5400,AUD,
2025-09,OpEx,Travel & Entertainment,2350,AUD,
2025-09,OpEx,Office Rent,9500,AUD,
2025-09,OpEx,Other OpEx,2300,AUD,
2025-10,Revenue,Subscription Revenue,156800,AUD,
2025-10,Revenue,Professional Services,17600,AUD,
2025-10,Revenue,Other Revenue,3100,AUD,
2025-10,COGS,Hosting & Infrastructure,19800,AUD,
2025-10,COGS,Customer Support Salaries,26500,AUD,Added 1 FTE
2025-10,OpEx,Sales & Marketing,28200,AUD,
2025-10,OpEx,R&D Salaries,57100,AUD,
2025-10,OpEx,G&A Salaries,18200,AUD,
2025-10,OpEx,Software Subscriptions,5600,AUD,
2025-10,OpEx,Travel & Entertainment,2200,AUD,
2025-10,OpEx,Office Rent,9500,AUD,
2025-10,OpEx,Other OpEx,2450,AUD,
2025-11,Revenue,Subscription Revenue,159400,AUD,
2025-11,Revenue,Professional Services,16900,AUD,
2025-11,Revenue,Other Revenue,3050,AUD,
2025-11,COGS,Hosting & Infrastructure,20100,AUD,
2025-11,COGS,Customer Support Salaries,26500,AUD,
2025-11,OpEx,Sales & Marketing,29100,AUD,
2025-11,OpEx,R&D Salaries,57100,AUD,
2025-11,OpEx,G&A Salaries,18200,AUD,
2025-11,OpEx,Software Subscriptions,5750,AUD,
2025-11,OpEx,Travel & Entertainment,2050,AUD,
2025-11,OpEx,Office Rent,9500,AUD,
2025-11,OpEx,Other OpEx,2350,AUD,
2025-12,Revenue,Subscription Revenue,161200,AUD,
2025-12,Revenue,Professional Services,18400,AUD,
2025-12,Revenue,Other Revenue,3200,AUD,
2025-12,COGS,Hosting & Infrastructure,20400,AUD,
2025-12,COGS,Customer Support Salaries,26500,AUD,
2025-12,OpEx,Sales & Marketing,28800,AUD,
2025-12,OpEx,R&D Salaries,72400,AUD,Annual bonus pool paid in Dec
2025-12,OpEx,G&A Salaries,24800,AUD,Annual bonus pool paid in Dec
